datetime,power_mc_se_ds,power_mc_sw_ds,power_am_se_ds,power_am_sw_ds,power_mc_se_gfs,power_mc_sw_gfs,power_am_se_gfs,power_am_sw_gfs
2018-02-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 00:05:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 00:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 00:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 00:20:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 00:25:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 00:35:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 00:40:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 00:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 00:50:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 00:55:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 01:05:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 01:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 01:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 01:20:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 01:25:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 01:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 01:35:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 01:40:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 01:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 01:50:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 01:55:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 02:05:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 02:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 02:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 02:20:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 02:25:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 02:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 02:35:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 02:40:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 02:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 02:50:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 02:55:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 03:05:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 03:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 03:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 03:20:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 03:25:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 03:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 03:35:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 03:40:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 03:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 03:50:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 03:55:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 04:05:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 04:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 04:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 04:20:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 04:25:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 04:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 04:35:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 04:40:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 04:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 04:50:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 04:55:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 05:05:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 05:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 05:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 05:20:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 05:25:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 05:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 05:35:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 05:40:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 05:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 05:50:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 05:55:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 06:05:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 06:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 06:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15 06:20:00+00:00,112.46433132,126.6313498,112.46433132,56.23216566,126.628086952,142.579299455,126.628086952,63.3140434758
2018-02-15 06:25:00+00:00,120.495019341,135.673655499,120.495019341,60.2475096707,135.716384588,152.812440786,135.716384588,67.8581922941
2018-02-15 06:30:00+00:00,131.788207144,148.389434788,131.788207144,65.8941035719,148.486760329,167.191487889,148.486760329,74.2433801643
2018-02-15 06:35:00+00:00,158.483744408,178.447781979,158.483744408,79.241872204,178.625703453,201.127003307,178.625703453,89.3128517266
2018-02-15 06:40:00+00:00,326.014647315,101.641968836,326.014647315,45.1353321166,262.092853216,210.921871303,262.092853216,93.6623800277
2018-02-15 06:45:00+00:00,379.035660893,139.865058585,379.035660893,62.1087523493,334.654784773,247.787467704,334.654784773,110.032989101
2018-02-15 06:50:00+00:00,443.235350887,190.673142501,443.235350887,84.6706897853,416.304746946,294.682225287,416.304746946,130.857167167
2018-02-15 06:55:00+00:00,514.413622445,246.105441072,514.413622445,109.286065054,504.273171361,348.591109418,504.273171361,154.796052031
2018-02-15 07:00:00+00:00,590.463348294,305.960875301,590.463348294,135.865586622,596.522254141,408.950382678,596.522254141,181.599309348
2018-02-15 07:05:00+00:00,669.573366017,369.810549202,669.573366017,164.218798097,661.549311319,447.356463636,661.549311319,198.653989016
2018-02-15 07:10:00+00:00,750.875312823,437.238152278,750.875312823,194.16083182,754.006445972,514.72293768,754.006445972,228.568877662
2018-02-15 07:15:00+00:00,833.514771001,507.812722172,833.514771001,225.500313805,847.339584691,586.34762602,847.339584691,260.374677303
2018-02-15 07:20:00+00:00,916.848135131,581.105486375,916.848135131,258.046842487,941.020132579,661.605104298,941.020132579,293.793660773
2018-02-15 07:25:00+00:00,1000.39067572,656.701472048,1000.39067572,291.616144214,1034.65580268,739.921209843,1034.65580268,328.570864268
2018-02-15 07:30:00+00:00,1083.77493143,734.208472888,1083.77493143,326.034055086,1127.94917838,820.778207107,1127.94917838,364.476381125
2018-02-15 07:35:00+00:00,1166.71920808,813.262540851,1166.71920808,361.138959621,1220.66958199,903.714066617,1220.66958199,401.30504163
2018-02-15 07:40:00+00:00,1249.004263,893.530185616,1249.004263,396.782767451,1312.63374071,988.318547621,1312.63374071,438.87467347
2018-02-15 07:45:00+00:00,1330.45640368,974.70829607,1330.45640368,432.830878461,1403.69247772,1074.22796738,1403.69247772,477.023778975
2018-02-15 07:50:00+00:00,1410.93544339,1056.52276396,1410.93544339,469.161571604,1493.72159275,1161.11978426,1493.72159275,515.609129671
2018-02-15 07:55:00+00:00,1490.32592006,1138.72619072,1490.32592006,505.664986584,1582.61531728,1248.70723367,1582.61531728,554.503384317
2018-02-15 08:00:00+00:00,1568.5309411,1221.0954565,1568.5309411,542.242044366,1670.28184826,1336.73461826,1670.28184826,593.592997439
2018-02-15 08:05:00+00:00,1645.46759595,1303.42907184,1645.46759595,578.803271145,1845.11845372,1508.53761527,1845.11845372,669.884173389
2018-02-15 08:10:00+00:00,1720.59970454,1385.81472066,1720.59970454,615.38760401,1934.69155546,1601.50475616,1934.69155546,711.16734439
2018-02-15 08:15:00+00:00,1794.77084089,1467.54827105,1794.77084089,651.682364769,2022.75188896,1694.26889929,2022.75188896,752.360371801
2018-02-15 08:20:00+00:00,1867.94349563,1548.49956031,1867.94349563,687.629753114,2109.23342693,1786.65384237,2109.23342693,793.385010899
2018-02-15 08:25:00+00:00,1939.81810516,1628.69052284,1939.81810516,723.239509283,2194.07497028,1878.49884286,2194.07497028,834.169882027
2018-02-15 08:30:00+00:00,2010.20492566,1708.0802354,2010.20492566,758.493460813,2277.21932774,1969.65657379,2277.21932774,874.649562889
2018-02-15 08:35:00+00:00,2078.9833533,1786.59444114,2078.9833533,793.358633072,2358.61279484,2059.99150779,2358.61279484,914.763870928
2018-02-15 08:40:00+00:00,2146.07446792,1864.1437261,2146.07446792,827.795320711,2438.20460359,2149.37837537,2438.20460359,954.457178736
2018-02-15 08:45:00+00:00,2211.42388411,1940.63410411,2211.42388411,861.761788055,2515.9466533,2237.70103608,2515.9466533,993.677912752
2018-02-15 08:50:00+00:00,2274.99129652,2015.97256584,2274.99129652,895.216733196,2591.79314738,2324.85134003,2591.79314738,1032.37804772
2018-02-15 08:55:00+00:00,2336.74449206,2090.06993581,2336.74449206,928.120556693,2665.70045922,2410.72833461,2665.70045922,1070.51275444
2018-02-15 09:00:00+00:00,2396.65583866,2162.84196503,2396.65583866,960.435846779,2737.62687981,2495.23741318,2737.62687981,1108.04002169
2018-02-15 09:05:00+00:00,2456.70524158,2235.66465243,2456.70524158,992.77363223,2706.5814279,2478.10264524,2706.5814279,1100.43112301
2018-02-15 09:10:00+00:00,2514.94156269,2307.12407397,2514.94156269,1024.50604317,2771.83226881,2556.65492895,2771.83226881,1135.31320425
2018-02-15 09:15:00+00:00,2571.3408021,2377.14769911,2571.3408021,1055.60087155,2835.06435805,2633.6508634,2835.06435805,1169.50416998
2018-02-15 09:20:00+00:00,2625.87959275,2445.6676535,2625.87959275,1086.02797694,2896.24429244,2709.01848261,2896.24429244,1202.97206285
2018-02-15 09:25:00+00:00,2678.53501575,2512.62027106,2678.53501575,1115.75908767,2955.34006185,2782.68960077,2955.34006185,1235.68660413
2018-02-15 09:30:00+00:00,2729.28465426,2577.94580274,2729.28465426,1144.76767144,3012.32107716,2854.5995951,3012.32107716,1267.61909731
2018-02-15 09:35:00+00:00,2778.10658739,2641.58801152,2778.10658739,1173.02875554,3067.15807727,2924.68706893,3067.15807727,1298.74227846
2018-02-15 09:40:00+00:00,2824.97951549,2703.49394873,2824.97951549,1200.51882749,3119.82316712,2992.89370522,3119.82316712,1329.0302512
2018-02-15 09:45:00+00:00,2869.88278114,2763.61363184,2869.88278114,1227.21569193,3170.289741,3059.16399703,3170.289741,1358.45836701
2018-02-15 09:50:00+00:00,2912.79648141,2821.89988572,2912.79648141,1253.0984002,3218.53251911,3123.4451432,3218.53251911,1387.00317891
2018-02-15 09:55:00+00:00,2953.70150622,2878.3081313,2953.70150622,1278.14715641,3264.52751489,3185.6868722,3264.52751489,1414.64236321
2018-02-15 10:00:00+00:00,2992.57957176,2932.79620596,2992.57957176,1302.34323776,3308.25201044,3245.84128961,3308.25201044,1441.35465184
2018-02-15 10:05:00+00:00,3030.61129615,2986.35697734,3030.61129615,1326.12753899,3199.62288572,3148.73569213,3199.62288572,1398.23374969
2018-02-15 10:10:00+00:00,3066.60649197,3037.96301409,3066.60649197,1349.04381693,3236.86023428,3202.14992238,3236.86023428,1421.95297758
2018-02-15 10:15:00+00:00,3100.54731695,3087.57681792,3100.54731695,1371.07542,3271.87378055,3253.45058511,3271.87378055,1444.73365053
